IBI	days_since_instruction	weekly_in_lab_sessions_completed	session_start_time
859	0	2	12:40:59
937	0	2	12:40:59
819	0	2	12:40:59
757	0	2	12:40:59
776	0	2	12:40:59
752	0	2	12:40:59
735	0	2	12:40:59
725	0	2	12:40:59
760	0	2	12:40:59
749	0	2	12:40:59
789	0	2	12:40:59
795	0	2	12:40:59
846	0	2	12:40:59
862	0	2	12:40:59
822	0	2	12:40:59
843	0	2	12:40:59
854	0	2	12:40:59
851	0	2	12:40:59
884	0	2	12:40:59
916	0	2	12:40:59
946	0	2	12:40:59
870	0	2	12:40:59
946	0	2	12:40:59
967	0	2	12:40:59
959	0	2	12:40:59
991	0	2	12:40:59
937	0	2	12:40:59
946	0	2	12:40:59
924	0	2	12:40:59
924	0	2	12:40:59
905	0	2	12:40:59
929	0	2	12:40:59
857	0	2	12:40:59
881	0	2	12:40:59
905	0	2	12:40:59
911	0	2	12:40:59
911	0	2	12:40:59
908	0	2	12:40:59
876	0	2	12:40:59
873	0	2	12:40:59
881	0	2	12:40:59
889	0	2	12:40:59
867	0	2	12:40:59
840	0	2	12:40:59
873	0	2	12:40:59
908	0	2	12:40:59
886	0	2	12:40:59
884	0	2	12:40:59
884	0	2	12:40:59
878	0	2	12:40:59
867	0	2	12:40:59
849	0	2	12:40:59
779	0	2	12:40:59
784	0	2	12:40:59
814	0	2	12:40:59
827	0	2	12:40:59
803	0	2	12:40:59
789	0	2	12:40:59
816	0	2	12:40:59
889	0	2	12:40:59
937	0	2	12:40:59
859	0	2	12:40:59
889	0	2	12:40:59
892	0	2	12:40:59
894	0	2	12:40:59
840	0	2	12:40:59
819	0	2	12:40:59
881	0	2	12:40:59
873	0	2	12:40:59
870	0	2	12:40:59
832	0	2	12:40:59
870	0	2	12:40:59
849	0	2	12:40:59
916	0	2	12:40:59
867	0	2	12:40:59
857	0	2	12:40:59
897	0	2	12:40:59
886	0	2	12:40:59
819	0	2	12:40:59
911	0	2	12:40:59
951	0	2	12:40:59
911	0	2	12:40:59
870	0	2	12:40:59
854	0	2	12:40:59
884	0	2	12:40:59
843	0	2	12:40:59
800	0	2	12:40:59
835	0	2	12:40:59
838	0	2	12:40:59
849	0	2	12:40:59
870	0	2	12:40:59
843	0	2	12:40:59
913	0	2	12:40:59
935	0	2	12:40:59
919	0	2	12:40:59
857	0	2	12:40:59
886	0	2	12:40:59
897	0	2	12:40:59
865	0	2	12:40:59
830	0	2	12:40:59
840	0	2	12:40:59
800	0	2	12:40:59
827	0	2	12:40:59
805	0	2	12:40:59
792	0	2	12:40:59
795	0	2	12:40:59
822	0	2	12:40:59
892	0	2	12:40:59
916	0	2	12:40:59
876	0	2	12:40:59
894	0	2	12:40:59
857	0	2	12:40:59
800	0	2	12:40:59
800	0	2	12:40:59
803	0	2	12:40:59
867	0	2	12:40:59
889	0	2	12:40:59
908	0	2	12:40:59
886	0	2	12:40:59
919	0	2	12:40:59
908	0	2	12:40:59
894	0	2	12:40:59
851	0	2	12:40:59
873	0	2	12:40:59
857	0	2	12:40:59
811	0	2	12:40:59
811	0	2	12:40:59
838	0	2	12:40:59
835	0	2	12:40:59
811	0	2	12:40:59
776	0	2	12:40:59
811	0	2	12:40:59
878	0	2	12:40:59
886	0	2	12:40:59
862	0	2	12:40:59
822	0	2	12:40:59
840	0	2	12:40:59
846	0	2	12:40:59
862	0	2	12:40:59
857	0	2	12:40:59
851	0	2	12:40:59
878	0	2	12:40:59
884	0	2	12:40:59
838	0	2	12:40:59
873	0	2	12:40:59
886	0	2	12:40:59
886	0	2	12:40:59
830	0	2	12:40:59
862	0	2	12:40:59
878	0	2	12:40:59
859	0	2	12:40:59
835	0	2	12:40:59
889	0	2	12:40:59
857	0	2	12:40:59
824	0	2	12:40:59
803	0	2	12:40:59
843	0	2	12:40:59
870	0	2	12:40:59
867	0	2	12:40:59
881	0	2	12:40:59
889	0	2	12:40:59
876	0	2	12:40:59
859	0	2	12:40:59
827	0	2	12:40:59
835	0	2	12:40:59
862	0	2	12:40:59
867	0	2	12:40:59
854	0	2	12:40:59
859	0	2	12:40:59
881	0	2	12:40:59
908	0	2	12:40:59
900	0	2	12:40:59
878	0	2	12:40:59
865	0	2	12:40:59
865	0	2	12:40:59
857	0	2	12:40:59
824	0	2	12:40:59
811	0	2	12:40:59
854	0	2	12:40:59
854	0	2	12:40:59
867	0	2	12:40:59
811	0	2	12:40:59
832	0	2	12:40:59
843	0	2	12:40:59
867	0	2	12:40:59
894	0	2	12:40:59
865	0	2	12:40:59
889	0	2	12:40:59
919	0	2	12:40:59
867	0	2	12:40:59
822	0	2	12:40:59
827	0	2	12:40:59
849	0	2	12:40:59
859	0	2	12:40:59
849	0	2	12:40:59
830	0	2	12:40:59
851	0	2	12:40:59
857	0	2	12:40:59
822	0	2	12:40:59
816	0	2	12:40:59
835	0	2	12:40:59
849	0	2	12:40:59
854	0	2	12:40:59
824	0	2	12:40:59
835	0	2	12:40:59
884	0	2	12:40:59
889	0	2	12:40:59
849	0	2	12:40:59
851	0	2	12:40:59
843	0	2	12:40:59
832	0	2	12:40:59
805	0	2	12:40:59
803	0	2	12:40:59
784	0	2	12:40:59
768	0	2	12:40:59
754	0	2	12:40:59
824	0	2	12:40:59
816	0	2	12:40:59
787	0	2	12:40:59
792	0	2	12:40:59
781	0	2	12:40:59
789	0	2	12:40:59
738	0	2	12:40:59
760	0	2	12:40:59
752	0	2	12:40:59
770	0	2	12:40:59
733	0	2	12:40:59
762	0	2	12:40:59
781	0	2	12:40:59
797	0	2	12:40:59
795	0	2	12:40:59
814	0	2	12:40:59
800	0	2	12:40:59
752	0	2	12:40:59
792	0	2	12:40:59
784	0	2	12:40:59
789	0	2	12:40:59
773	0	2	12:40:59
795	0	2	12:40:59
830	0	2	12:40:59
816	0	2	12:40:59
781	0	2	12:40:59
789	0	2	12:40:59
811	0	2	12:40:59
792	0	2	12:40:59
776	0	2	12:40:59
803	0	2	12:40:59
803	0	2	12:40:59
779	0	2	12:40:59
832	0	2	12:40:59
832	0	2	12:40:59
805	0	2	12:40:59
827	0	2	12:40:59
843	0	2	12:40:59
870	0	2	12:40:59
843	0	2	12:40:59
881	0	2	12:40:59
824	0	2	12:40:59
876	0	2	12:40:59
840	0	2	12:40:59
849	0	2	12:40:59
873	0	2	12:40:59
905	0	2	12:40:59
859	0	2	12:40:59
886	0	2	12:40:59
894	0	2	12:40:59
900	0	2	12:40:59
870	0	2	12:40:59
900	0	2	12:40:59
929	0	2	12:40:59
870	0	2	12:40:59
894	0	2	12:40:59
913	0	2	12:40:59
916	0	2	12:40:59
857	0	2	12:40:59
902	0	2	12:40:59
921	0	2	12:40:59
892	0	2	12:40:59
916	0	2	12:40:59
911	0	2	12:40:59
859	0	2	12:40:59
873	0	2	12:40:59
873	0	2	12:40:59
897	0	2	12:40:59
894	0	2	12:40:59
956	0	2	12:40:59
997	0	2	12:40:59
954	0	2	12:40:59
973	0	2	12:40:59
975	0	2	12:40:59
927	0	2	12:40:59
884	0	2	12:40:59
894	0	2	12:40:59
921	0	2	12:40:59
857	0	2	12:40:59
830	0	2	12:40:59
865	0	2	12:40:59
867	0	2	12:40:59
870	0	2	12:40:59
857	0	2	12:40:59
881	0	2	12:40:59
1002	0	2	12:40:59
962	0	2	12:40:59
932	0	2	12:40:59
911	0	2	12:40:59
919	0	2	12:40:59
900	0	2	12:40:59
838	0	2	12:40:59
854	0	2	12:40:59
886	0	2	12:40:59
911	0	2	12:40:59
900	0	2	12:40:59
897	0	2	12:40:59
924	0	2	12:40:59
905	0	2	12:40:59
857	0	2	12:40:59
876	0	2	12:40:59
902	0	2	12:40:59
867	0	2	12:40:59
851	0	2	12:40:59
870	0	2	12:40:59
889	0	2	12:40:59
876	0	2	12:40:59
805	0	2	12:40:59
849	0	2	12:40:59
846	0	2	12:40:59
805	0	2	12:40:59
824	0	2	12:40:59
894	0	2	12:40:59
884	0	2	12:40:59
862	0	2	12:40:59
916	0	2	12:40:59
940	0	2	12:40:59
902	0	2	12:40:59
916	0	2	12:40:59
911	0	2	12:40:59
892	0	2	12:40:59
832	0	2	12:40:59
857	0	2	12:40:59
886	0	2	12:40:59
929	0	2	12:40:59
889	0	2	12:40:59
932	0	2	12:40:59
967	0	2	12:40:59
932	0	2	12:40:59
862	0	2	12:40:59
865	0	2	12:40:59
870	0	2	12:40:59
886	0	2	12:40:59
824	0	2	12:40:59
840	0	2	12:40:59
889	0	2	12:40:59
989	0	2	12:40:59
964	0	2	12:40:59
897	0	2	12:40:59
927	0	2	12:40:59
911	0	2	12:40:59
870	0	2	12:40:59
835	0	2	12:40:59
819	0	2	12:40:59
822	0	2	12:40:59
824	0	2	12:40:59
822	0	2	12:40:59
830	0	2	12:40:59
894	0	2	12:40:59
835	0	2	12:40:59
867	0	2	12:40:59
886	0	2	12:40:59
865	0	2	12:40:59
830	0	2	12:40:59
862	0	2	12:40:59
902	0	2	12:40:59
846	0	2	12:40:59
843	0	2	12:40:59
857	0	2	12:40:59
886	0	2	12:40:59
843	0	2	12:40:59
881	0	2	12:40:59
921	0	2	12:40:59
937	0	2	12:40:59
948	0	2	12:40:59
962	0	2	12:40:59
932	0	2	12:40:59
867	0	2	12:40:59
854	0	2	12:40:59
867	0	2	12:40:59
867	0	2	12:40:59
832	0	2	12:40:59
908	0	2	12:40:59
975	0	2	12:40:59
962	0	2	12:40:59
940	0	2	12:40:59
973	0	2	12:40:59
924	0	2	12:40:59
859	0	2	12:40:59
886	0	2	12:40:59
867	0	2	12:40:59
873	0	2	12:40:59
838	0	2	12:40:59
859	0	2	12:40:59
937	0	2	12:40:59
913	0	2	12:40:59
876	0	2	12:40:59
935	0	2	12:40:59
929	0	2	12:40:59
849	0	2	12:40:59
881	0	2	12:40:59
854	0	2	12:40:59
819	0	2	12:40:59
814	0	2	12:40:59
830	0	2	12:40:59
867	0	2	12:40:59
865	0	2	12:40:59
843	0	2	12:40:59
886	0	2	12:40:59
876	0	2	12:40:59
924	0	2	12:40:59
881	0	2	12:40:59
867	0	2	12:40:59
867	0	2	12:40:59
849	0	2	12:40:59
814	0	2	12:40:59
843	0	2	12:40:59
878	0	2	12:40:59
937	0	2	12:40:59
886	0	2	12:40:59
857	0	2	12:40:59
867	0	2	12:40:59
857	0	2	12:40:59
822	0	2	12:40:59
857	0	2	12:40:59
897	0	2	12:40:59
889	0	2	12:40:59
881	0	2	12:40:59
900	0	2	12:40:59
881	0	2	12:40:59
816	0	2	12:40:59
827	0	2	12:40:59
819	0	2	12:40:59
797	0	2	12:40:59
808	0	2	12:40:59
822	0	2	12:40:59
805	0	2	12:40:59
811	0	2	12:40:59
878	0	2	12:40:59
870	0	2	12:40:59
867	0	2	12:40:59
838	0	2	12:40:59
900	0	2	12:40:59
905	0	2	12:40:59
867	0	2	12:40:59
892	0	2	12:40:59
897	0	2	12:40:59
902	0	2	12:40:59
870	0	2	12:40:59
870	0	2	12:40:59
878	0	2	12:40:59
908	0	2	12:40:59
927	0	2	12:40:59
889	0	2	12:40:59
886	0	2	12:40:59
908	0	2	12:40:59
932	0	2	12:40:59
951	0	2	12:40:59
894	0	2	12:40:59
919	0	2	12:40:59
935	0	2	12:40:59
913	0	2	12:40:59
843	0	2	12:40:59
752	0	2	12:40:59
784	0	2	12:40:59
787	0	2	12:40:59
749	0	2	12:40:59
854	0	2	12:40:59
948	0	2	12:40:59
937	0	2	12:40:59
981	0	2	12:40:59
940	0	2	12:40:59
894	0	2	12:40:59
862	0	2	12:40:59
849	0	2	12:40:59
816	0	2	12:40:59
811	0	2	12:40:59
800	0	2	12:40:59
822	0	2	12:40:59
859	0	2	12:40:59
908	0	2	12:40:59
873	0	2	12:40:59
911	0	2	12:40:59
948	0	2	12:40:59
889	0	2	12:40:59
892	0	2	12:40:59
881	0	2	12:40:59
902	0	2	12:40:59
797	0	2	12:40:59
862	0	2	12:40:59
892	0	2	12:40:59
800	0	2	12:40:59
854	0	2	12:40:59
873	0	2	12:40:59
838	0	2	12:40:59
889	0	2	12:40:59
897	0	2	12:40:59
814	0	2	12:40:59
843	0	2	12:40:59
822	0	2	12:40:59
805	0	2	12:40:59
797	0	2	12:40:59
824	0	2	12:40:59
827	0	2	12:40:59
789	0	2	12:40:59
843	0	2	12:40:59
921	0	2	12:40:59
873	0	2	12:40:59
905	0	2	12:40:59
921	0	2	12:40:59
886	0	2	12:40:59
